Gene	Cytoband	(A) NON-SARIFA	(B) SARIFA	Log Ratio	p-Value	q-Value	Enriched in
C11ORF21	11p15.5	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
C12ORF29	12q21.32	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
C12ORF75	12q23.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
C16ORF87	16q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
C17ORF107	17p13.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
C1D	2p14	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
C22ORF31	22q12.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
C2ORF27A	2q21.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
C5ORF52	5q33.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CACNG2	22q12.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CALCB	11p15.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CATSPERZ	11q13.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CCDC197	14q32.12	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CCL17	16q21	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CD302	2q24.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CDC26	9q32	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CDRT15P3	2q21.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CELF2-AS2	10p14	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CENPP	9q22.31	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CES1P1	16q12.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CES1P2	16q12.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CFAP100-DT	3q21.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CFC1	2q21.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CFC1B	2q21.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CGB8	19q13.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CLEC17A	19p13.12	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CLLU1	12q22	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CNFN	19q13.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CNN3-DT	1p21.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
COA8	14q32.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
COMMD1	2p15	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
COMMD3-BMI1	10p12.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
COPS7B	2q37.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CORO1C	12q24.11	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CPS1-IT1	2q34	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CREB3L2-AS1	7q33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CRYBB2P1	22q11.2-q12.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CSMD2-AS1	1p35.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CTBS	1p22.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CXADRP2	15q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CYP4F30P	2q21.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
CYP4F62P	2q21.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
DARS1-AS1	2q21.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
DAW1	2q36.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
DBIL5P2	2p15	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
DCUN1D2-AS	13q34	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
DDHD1-DT	14q22.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
DDTL	22q11.23	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
DEPDC1-AS1	1p31.3-p31.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
DERA	12p12.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
DGAT2L6	Xq13.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
DNAJB3	2q37.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
DNAJC4	11q13.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
DTHD1	4p14	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
EBLN1	10p12.31	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
EHBP1-AS1	2p15	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
EML6	2p16.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
ERO1A	14q22.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
ERVK13-1	16p13.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
ETHE1	19q13.31	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
FAHD2CP	2q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
FAM181A-AS1	14q32.12	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
FAM241A	4q25	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
FAM86EP	4p16.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
FAR2P1	2q21.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
FAR2P2	2q21.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
FNBP1L	1p22.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
FPGT-TNNI3K	1p31.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
FRMD6-AS1	14q22.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GAS2L1P2	9q22.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GBP2	1p22.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GEMIN8P4	1p22.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GFER	16p13.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GNAO1-AS1	16q13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GNAO1-DT	16q13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GNG5	1p22.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GOLGA6L1	15q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GOLGA6L22	15q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GOLGA6L6	15q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GOLGA8CP	15q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GOLGA8DP	15q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GOLGA8EP	15q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GOLGA8IP	15q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GOLGA8S	15q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GRM8-AS1	7q31.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GSTT1	22q11.23 alternate reference locus	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GSTT2	22q11.23	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GSTT2B	22q11.23	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GSTT4	22q11.23	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GSTTP2	22q11.23 alternate reference locus	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
GUCD1	22q11.23	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
HBG1	11p15.4	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
HERC2P2	15q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
HERC2P3	15q11.1-q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
HERC2P7	15q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
HLTF-AS1	3q24	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
HYAL6P	7q31.32	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
ID3	1p36.12	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IFI27	14q32.12	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IFI27L1	14q32.12	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IFI27L2	14q32.12	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IGHV2-26	14q32.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IGHV3-15	14q32.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IGHV3-33	14q32.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IGHV3-49	14q32.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IGHV3-64	14q32.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IGHV3-72	14q32.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IGHV3-74	14q32.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IGHV3-9	14q32.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IGKV1OR10-1	10q11.21	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IGKV3-15	2p11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IGKV3-7	2p11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IGLL3P	22q11.23	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IGLV11-55	22q11.22	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IGLV3-21	22q11.22	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IGLV6-57	22q11.22	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IGSF6	16p12.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IL2	4q27	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
INAFM1	19q13.32	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IPW	15q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
IRS4-AS1	Xq22.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
ISY1	3q21.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
ITPK1-AS1	14q32.12	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
JAKMIP1-DT	4p16.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
KCNH7-AS1	2q24.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
KCNIP4-IT1	4p15.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
KCTD5	16p13.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
KDELR1	19q13.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
KIAA1671	22q11.23	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
KIAA1671-AS1	22q11.23	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
KLF3-AS1	4p14	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
KRCC1	2p11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
KRT87P	12q13.13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
KTN1-AS1	14q22.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LCT-AS1	2q21.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC-PINT	7q32.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC00092	9q22.32	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC00254	16p13.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC00324	17p13.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC00471	2q37.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC00475	9q22.31	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC00513	7q32.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC00520	14q22.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC00587	9q31.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC00643	14q23.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC00644	14q23.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC00645	14q12	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC00709	10p14	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC00921	16p13.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC00939	12q24.32	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC00955	4p16.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01016	6p21.31	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01087	2q21.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01120	2q21.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01193	15q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01215	3q13.12	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01358	1p32.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01361	1p31.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01412	2q22.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01422	22q12.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01500	14q23.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01501	9q22.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01505	9q31.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01508	9q22.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01551	14q12	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01555	1p22.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01569	16p13.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01634	22q11.21	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01845	5q33.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01856	2q21.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01876	2q24.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC01920	2q23.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC02016	3q21.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC02171	4p16.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC02202	5q33.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC02203	15q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC02293	14q12	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC02294	14q12	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC02298	14q32.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC02315	14q21.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC02359	12q24.32	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC02395	12q13.12	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC02396	12q13.12	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC02447	4p16.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC02458	12q21.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC02516	4q28.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC02610	2q37.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC02612	2q23.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC02800	1p36.11	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC02843	9q22.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC03012	7q31.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LINC03027	10p12.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LIPE-AS1	19q13.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LOC388282	16q21	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LOC391322	22q11.23	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LOC441155	6q12	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LOC728392	17p13.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LRRC74A	14q24.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LUZP6	7q33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LYPD6	2q23.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
LYVE1	11p15.4	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MAP1LC3B2	12q24.22	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MAT2B	5q34	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MED15P9	2q21.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MED28	4p15.32	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MED6	14q24.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MESTIT1	7q32.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
METTL9	16p12.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MFSD14C	9q22.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MIAT	22q12.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MIATNB	22q12.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MIF-AS1	22q11.23	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MIR4307HG	14q12	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MMADHC-DT	2q23.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MOAP1	14q32.12	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MRFAP1	4p16.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MRGPRE	11p15.4	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MROH2A	2q37.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MRPL44	2q36.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MS4A6E	11q12.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MSANTD3-TMEFF1	9q31.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MSL3P1	2q37.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MSRB1	16p13.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MT1A	16q13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MT1B	16q13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MT1DP	16q13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MT1E	16q13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MT1F	16q13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MT1H	16q13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MT1IP	16q13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MT1JP	16q13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MT1L	16q13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MT1X	16q13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MT2A	16q13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MT3	16q13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MT4	16q13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MTHFD2	2p13.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MTRNR2L4	16p13.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
MZT2B	2q21.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
NACAP8	12q22	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
NAMA	9q22.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
NBEAP1	15q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
NCKAP5-AS2	2q21.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
NDUFB4	3q13.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
NF1P2	15q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
NFIA-AS1	1p31.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
NMI	2q23.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
NOC2LP2	2q21.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
NOXO1	16p13.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
NUDT21	16q13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
NUP210P1	3q21.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
NXF4	Xq22.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
NXT2	Xq23	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
OGFOD2	12q24.31	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
OMA1	1p32.2-p32.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
OR3A4P	17p13.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
OR4G4P	1p36.33	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
OR4M2-OT1	15q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
OR4N3P	15q11.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
OR52N5	11p15.4	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
OR6C6	12q13.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
OTX2-AS1	14q22.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
PABPC1P2	2q22.3	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
PAFAH1B2P2	12q23.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
PFN1	17p13.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
PINLYP	19q13.31	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
PKN2-AS1	1p22.2	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
PLAC9P1	2q21.1	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
PLLP	16q13	0 (0.00%)	1 (1.12%)	<-10	0.318	0.667	(B) SARIFA
